job_id,machine,job_type,priority,arrival_hour,arrival_hour_of_day,service_start_hour,finish_hour,wait_hours,service_hours,total_time_hours
1,Konturograf,normalbit,3,87.24489185380348,15,87.24489185380348,87.82146275803737,0.0,0.5765709042338856,0.5765709042338898
40,Konturograf,normalbit,3,158.98416521136596,14,158.98416521136596,159.52602103395685,0.0,0.5418558225909029,0.5418558225908896
15,Konturograf,normalbit,3,171.03210024390404,3,171.03210024390404,171.71781186817697,0.0,0.6857116242729324,0.6857116242729262
36,Konturograf,forstabit,1,212.85963540025375,20,212.85963540025375,213.451058209619,0.0,0.5914228093652454,0.5914228093652412
20,Konturograf,normalbit,3,280.86110290966667,16,280.86110290966667,281.44777040161483,0.0,0.5866674919481529,0.5866674919481625
39,Konturograf,forstabit,1,303.35429756658954,15,303.35429756658954,304.19631958932405,0.0,0.8420220227345009,0.8420220227345112
24,Konturograf,normalbit,3,342.15815775434464,6,342.15815775434464,342.5510445203197,0.0,0.3928867659750258,0.39288676597504946
23,Konturograf,normalbit,3,350.5369703304088,14,350.5369703304088,351.19651383343586,0.0,0.6595435030270755,0.6595435030270664
42,Konturograf,normalbit,3,417.27854514466696,9,417.27854514466696,417.928373062619,0.0,0.6498279179520641,0.6498279179520523
27,Konturograf,forstabit,1,492.77862647863054,12,492.77862647863054,493.6899323782425,0.0,0.9113058996119059,0.9113058996119321
5,Konturograf,forstabit,1,496.340250516518,16,496.340250516518,497.0171598346624,0.0,0.6769093181444199,0.6769093181443964
16,Konturograf,forstabit,1,668.5671800514785,20,668.5671800514785,669.6086233747162,0.0,1.0414433232376958,1.0414433232376723
35,Konturograf,normalbit,3,707.0071908389851,11,707.0071908389851,707.9058949209285,0.0,0.8987040819433967,0.8987040819433787
18,Konturograf,forstabit,1,761.5389772896673,17,761.5389772896673,762.6041710550254,0.0,1.0651937653580958,1.0651937653581172
7,Konturograf,forstabit,1,810.7297317866938,18,810.7297317866938,811.6446664596965,0.0,0.9149346730027005,0.9149346730026764
25,Konturograf,normalbit,3,815.761962199052,23,815.761962199052,816.5424050899036,0.0,0.7804428908514782,0.780442890851532
12,Konturograf,forstabit,1,832.6835476655367,16,832.6835476655367,833.275652427603,0.0,0.5921047620662547,0.5921047620662421
10,Konturograf,forstabit,1,911.8553177210151,23,911.8553177210151,913.0366286252433,0.0,1.1813109042281567,1.1813109042282122
29,Konturograf,frekvensbit,2,939.2408715924472,3,939.2408715924472,940.0535319924682,0.0,0.8126604000209492,0.8126604000209454
33,Konturograf,normalbit,3,944.6716869596382,8,944.6716869596382,945.3860781758408,0.0,0.7143912162026052,0.7143912162025572
28,Konturograf,forstabit,1,995.1118677253208,11,995.1118677253208,995.927677595507,0.0,0.8158098701862203,0.8158098701861718
6,Konturograf,frekvensbit,2,1033.3799273006373,1,1033.3799273006373,1034.0873950919975,0.0,0.7074677913602639,0.707467791360159
41,Konturograf,normalbit,3,1049.1092690322448,17,1049.1092690322448,1049.7230677735442,0.0,0.6137987412994662,0.6137987412994335
9,Konturograf,normalbit,3,1115.7045718362149,11,1115.7045718362149,1116.1886093982139,0.0,0.48403756199906833,0.4840375619990027
8,Konturograf,frekvensbit,2,1153.293178281407,1,1153.293178281407,1154.1413330321752,0.0,0.8481547507682103,0.8481547507681171
4,Konturograf,normalbit,3,1275.589265683876,3,1275.589265683876,1276.5642787443576,0.0,0.975013060481726,0.975013060481615
32,Konturograf,normalbit,3,1319.9289134930023,23,1319.9289134930023,1320.8612388455629,0.0,0.932325352560682,0.9323253525606106
43,Konturograf,normalbit,3,1361.8559668924684,17,1361.8559668924684,1362.3973512781336,0.0,0.5413843856651728,0.5413843856651965
34,Konturograf,normalbit,3,1369.2246973370316,1,1369.2246973370316,1369.9218967219217,0.0,0.6971993848902545,0.6971993848901548
11,Konturograf,normalbit,3,1406.3648321789701,14,1406.3648321789701,1407.0776820968335,0.0,0.7128499178633756,0.7128499178634229
30,Konturograf,forstabit,1,1507.9779844936772,19,1507.9779844936772,1508.8907408489429,0.0,0.9127563552655177,0.9127563552656284
17,Konturograf,forstabit,1,1522.9145475897406,10,1522.9145475897406,1523.7833828576267,0.0,0.8688352678862865,0.8688352678861975
3,Konturograf,forstabit,1,1550.5612450629387,14,1550.5612450629387,1551.6011854909345,0.0,1.0399404279958642,1.0399404279958162
22,Konturograf,frekvensbit,2,1611.5532258962153,3,1611.5532258962153,1612.6725325594373,0.0,1.1193066632221156,1.1193066632220052
13,Konturograf,normalbit,3,1647.1634024937619,15,1647.1634024937619,1647.880647274816,0.0,0.7172447810542253,0.7172447810542053
2,Konturograf,forstabit,1,1658.4219218196852,2,1658.4219218196852,1658.9509092782828,0.0,0.528987458597694,0.5289874585976122
44,Konturograf,normalbit,3,1673.9689962572847,17,1673.9689962572847,1675.0652444027728,0.0,1.0962481454880424,1.0962481454880617
38,Konturograf,normalbit,3,1761.7846194242907,9,1761.7846194242907,1762.7580113135882,0.0,0.973391889297553,0.9733918892975453
19,Konturograf,normalbit,3,1784.2193207591572,8,1784.2193207591572,1785.4783018623816,0.0,1.2589811032243172,1.2589811032244143
26,Konturograf,forstabit,1,1928.638949494866,8,1928.638949494866,1929.6008820585885,0.0,0.9619325637224551,0.9619325637224847
14,Konturograf,frekvensbit,2,1958.2196151739702,14,1958.2196151739702,1958.9098560698621,0.0,0.6902408958918635,0.690240895891975
31,Konturograf,forstabit,1,2027.549803593495,11,2027.549803593495,2028.3071344692942,0.0,0.7573308757992727,0.7573308757991981
37,Konturograf,forstabit,1,2051.539233931395,11,2051.539233931395,2052.5850193223596,0.0,1.0457853909648254,1.0457853909647383
21,Konturograf,forstabit,1,2098.063527706152,10,2098.063527706152,2098.8895294682275,0.0,0.8260017620753952,0.8260017620755207
56,Konturograf 2,frekvensbit,2,33.998454440854445,9,33.998454440854445,34.50400254417891,0.0,0.5055481033244651,0.5055481033244646
71,Konturograf 2,normalbit,3,74.92448729524155,2,74.92448729524155,75.31007087953066,0.0,0.3855835842891093,0.3855835842891082
68,Konturograf 2,forstabit,1,140.21007653833976,20,140.21007653833976,140.51234935234334,0.0,0.3022728140035679,0.3022728140035724
82,Konturograf 2,normalbit,3,213.92077085621804,21,213.92077085621804,214.26259066868136,0.0,0.3418198124633196,0.3418198124633136
66,Konturograf 2,forstabit,1,237.69101962375586,21,237.69101962375586,237.96266461785294,0.0,0.27164499409706633,0.2716449940970733
51,Konturograf 2,frekvensbit,2,258.06852133270377,18,258.06852133270377,258.27530133405094,0.0,0.20678000134717708,0.20678000134716967
73,Konturograf 2,normalbit,3,319.0387246076658,7,319.0387246076658,319.34679495613796,0.0,0.30807034847215076,0.30807034847214254
94,Konturograf 2,normalbit,3,328.21884113681233,16,328.21884113681233,328.61152018240654,0.0,0.3926790455941822,0.39267904559420685
61,Konturograf 2,forstabit,1,356.742416683981,20,356.742416683981,357.0162735349042,0.0,0.2738568509232007,0.27385685092320955
83,Konturograf 2,normalbit,3,375.3003222682113,15,375.3003222682113,375.57645579646817,0.0,0.2761335282568867,0.276133528256878
93,Konturograf 2,normalbit,3,446.00554481813805,14,446.00554481813805,446.3814650282217,0.0,0.3759202100836681,0.3759202100836774
65,Konturograf 2,frekvensbit,2,495.5516804211264,15,495.5516804211264,495.8511465918587,0.0,0.29946617073234216,0.2994661707323303
46,Konturograf 2,normalbit,3,511.9853088437797,7,511.9853088437797,512.2517814030643,0.0,0.2664725592846384,0.26647255928463665
45,Konturograf 2,normalbit,3,512.481358417971,8,512.481358417971,512.8962171274221,0.0,0.41485870945103953,0.4148587094510958
62,Konturograf 2,forstabit,1,640.2035973123275,16,640.2035973123275,640.5997954677455,0.0,0.3961981554179499,0.3961981554180056
57,Konturograf 2,forstabit,1,660.1324565703665,12,660.1324565703665,660.4593603990356,0.0,0.3269038286692104,0.3269038286691739
90,Konturograf 2,normalbit,3,734.2246406659973,14,734.2246406659973,734.474977032362,0.0,0.2503363663646135,0.2503363663646496
70,Konturograf 2,forstabit,1,739.9762060329309,19,739.9762060329309,740.4303790607914,0.0,0.4541730278604721,0.45417302786052005
58,Konturograf 2,forstabit,1,753.1577468323572,9,753.1577468323572,753.6212283833091,0.0,0.4634815509518745,0.46348155095188304
91,Konturograf 2,forstabit,1,767.6112739730606,23,767.6112739730606,768.0496874224764,0.0,0.43841344941570837,0.4384134494157479
80,Konturograf 2,normalbit,3,768.436057515455,0,768.436057515455,768.7544192976495,0.0,0.3183617821945601,0.31836178219452904
78,Konturograf 2,forstabit,1,793.5965712549878,1,793.5965712549878,793.9227143222289,0.0,0.3261430672411221,0.3261430672411052
54,Konturograf 2,forstabit,1,798.7161918007894,6,798.7161918007894,799.0155019463109,0.0,0.2993101455214964,0.299310145521531
64,Konturograf 2,normalbit,3,840.3335565386051,0,840.3335565386051,840.5640451800101,0.0,0.23048864140504013,0.23048864140503156
76,Konturograf 2,frekvensbit,2,846.509405675528,6,846.509405675528,846.8654086358798,0.0,0.3560029603518099,0.356002960351816
89,Konturograf 2,normalbit,3,874.6329408557658,10,874.6329408557658,874.9144314718258,0.0,0.2814906160599997,0.28149061605995485
77,Konturograf 2,normalbit,3,1028.1153417518515,20,1028.1153417518515,1028.5883560108487,0.0,0.4730142589972375,0.47301425899718197
67,Konturograf 2,forstabit,1,1142.1480937855674,14,1142.1480937855674,1142.4118883024876,0.0,0.2637945169201904,0.263794516920143
85,Konturograf 2,normalbit,3,1166.9028055457327,14,1166.9028055457327,1167.242786772597,0.0,0.33998122686417953,0.33998122686421084
52,Konturograf 2,normalbit,3,1225.8902873141294,1,1225.8902873141294,1226.152351862842,0.0,0.2620645487124257,0.2620645487124875
84,Konturograf 2,normalbit,3,1239.5544124776668,15,1239.5544124776668,1239.8028135433037,0.0,0.24840106563699105,0.24840106563692643
79,Konturograf 2,normalbit,3,1332.5114230596694,12,1332.5114230596694,1332.8026995312728,0.0,0.29127647160349623,0.2912764716033962
47,Konturograf 2,normalbit,3,1398.6965915036,6,1398.6965915036,1399.0665450901045,0.0,0.36995358650438975,0.3699535865043799
74,Konturograf 2,forstabit,1,1401.8205363809716,9,1401.8205363809716,1402.3007597075948,0.0,0.4802233266231975,0.48022332662321787
88,Konturograf 2,forstabit,1,1458.959832003683,18,1458.959832003683,1459.3870822716453,0.0,0.42725026796229404,0.4272502679623358
50,Konturograf 2,forstabit,1,1476.8527198920483,12,1476.8527198920483,1477.1272540954774,0.0,0.27453420342914614,0.2745342034290843
63,Konturograf 2,forstabit,1,1495.9081590462185,7,1495.9081590462185,1496.1364246560674,0.0,0.2282656098488676,0.2282656098489042
60,Konturograf 2,normalbit,3,1686.663388714966,6,1686.663388714966,1687.114109633639,0.0,0.45072091867299613,0.4507209186729142
86,Konturograf 2,forstabit,1,1699.3038749492684,19,1699.3038749492684,1699.5950598691948,0.0,0.291184919926305,0.2911849199263088
69,Konturograf 2,forstabit,1,1724.4063773898322,20,1724.4063773898322,1724.7987776940943,0.0,0.39240030426205663,0.3924003042620825
49,Konturograf 2,frekvensbit,2,1791.0609575714766,15,1791.0609575714766,1791.3379997129136,0.0,0.2770421414370007,0.2770421414370503
87,Konturograf 2,normalbit,3,1862.464988190247,14,1862.464988190247,1862.7673128631448,0.0,0.30232467289776777,0.30232467289783926
59,Konturograf 2,normalbit,3,1895.807099943265,23,1895.807099943265,1896.127403725907,0.0,0.32030378264195536,0.3203037826419859
