machine,job_type,jobs,avg_wait_hours,max_wait_hours,avg_total_time_hours,avg_service_hours
Konturograf,forstabit,18,0.0,0.0,0.865,0.865
Konturograf,frekvensbit,5,0.0,0.0,0.836,0.836
Konturograf,normalbit,21,0.0,0.0,0.738,0.738
Konturograf 2,forstabit,18,0.0,0.0,0.355,0.355
Konturograf 2,frekvensbit,5,0.0,0.0,0.329,0.329
Konturograf 2,normalbit,27,0.0,0.0,0.328,0.328
P40 1,normalbit,1466,0.338,6.482,0.733,0.394
P40 1,frekvensbit,180,0.156,1.474,0.547,0.391
P40 1,forstabit,961,0.146,1.617,0.594,0.448
P65,normalbit,430,0.468,9.414,1.58,1.113
P65,forstabit,242,0.327,5.033,1.574,1.247
P65,frekvensbit,39,0.296,2.806,1.439,1.143
Wenzel WGT350,normalbit,1413,0.538,8.996,1.011,0.474
Wenzel WGT350,frekvensbit,152,0.223,2.624,0.678,0.455
Wenzel WGT350,forstabit,832,0.188,3.043,0.733,0.544
Wenzel WGT400,normalbit,1342,0.494,10.147,0.97,0.476
Wenzel WGT400,frekvensbit,162,0.299,4.015,0.784,0.484
Wenzel WGT400,forstabit,841,0.22,2.831,0.77,0.55
Wenzel WGT500,normalbit,1288,0.307,5.84,0.749,0.442
Wenzel WGT500,frekvensbit,176,0.239,3.618,0.672,0.433
Wenzel WGT500,forstabit,770,0.177,3.307,0.685,0.508
Wenzel WGT500 2,normalbit,448,1.192,15.362,2.53,1.337
Wenzel WGT500 2,forstabit,295,0.508,5.559,2.029,1.521
Wenzel WGT500 2,frekvensbit,44,0.462,2.093,1.848,1.386
Wenzel WGT600,normalbit,1239,0.445,6.462,0.941,0.496
Wenzel WGT600,frekvensbit,165,0.295,3.225,0.795,0.5
Wenzel WGT600,forstabit,816,0.201,2.631,0.761,0.56
Ytmatare,forstabit,47,0.012,0.261,0.413,0.401
Ytmatare,normalbit,93,0.006,0.362,0.376,0.369
Ytmatare,frekvensbit,6,0.0,0.0,0.365,0.365
Zeiss 1,normalbit,761,0.115,2.278,0.528,0.413
Zeiss 1,frekvensbit,83,0.093,0.681,0.51,0.417
Zeiss 1,forstabit,486,0.086,1.379,0.556,0.469
Zeiss 12,forstabit,8,0.0,0.0,0.99,0.99
Zeiss 12,frekvensbit,1,0.0,0.0,0.552,0.552
Zeiss 12,normalbit,8,0.0,0.0,0.835,0.835
Zeiss 14,normalbit,158,0.62,10.502,2.527,1.907
Zeiss 14,forstabit,95,0.383,2.953,2.487,2.104
Zeiss 14,frekvensbit,19,0.307,2.649,2.375,2.067
Zeiss 15,normalbit,209,0.09,1.459,0.878,0.788
Zeiss 15,forstabit,123,0.058,1.117,0.992,0.933
Zeiss 15,frekvensbit,35,0.031,0.571,0.884,0.853
